	Name	City	Rating	Reviews	Tags	Price	Region
0	Dogs	Seattle	5	5	['Hot Dogs']		Capitol Hill
1	An’Clair - Fairview	Seattle	5	8	['Cafes']		South Lake Union
2	Cafe Bar	Seattle	5	7	['Cafes', 'Coffee & Tea', 'Coffee Roasteries']		South Lake Union
3	Market	Seattle	5	6	['Farmers Market', 'Delis']	$$	
4	& Tings	Seattle	5	6	['Cajun/Creole', 'Food Trucks']	$$	Central District
5	Poke	Seattle	5	9	['Hawaiian', 'Poke']	$$	Queen Anne
6	City Market	Seattle	5	6	['Grocery', 'Breakfast & Brunch', 'Sandwiches']	$$	
7	Berry Farm Jam Stand	Seattle	5	7	['Specialty Food', 'Food Stands']	$$	Downtown
8	Bowl-Westlake	Seattle	5	5	['Korean', 'Barbeque', 'Fast Food']	$$	Denny Triangle
9	Bite Ceviches	Seattle	5	13	['Seafood', 'Food Stands']	$$	Beacon Hill
10		Seattle	5	12	['Chinese', 'Food Delivery Services']	$$	Seattle
11		Seattle	5	12	['Chinese', 'Food Delivery Services']	$$	Seattle
12	Queen Donuts & Deli	Seattle	5	5	['Bakeries', 'Barbeque']	$$	Industrial District
13	Madness	Seattle	5	12	['Food Trucks', 'Cheesesteaks', 'Comfort Food']	$$	Riverview
14	West	Seattle	5	11	['American (New)', 'Beverage Store']	$$	Junction
15	Chicken	Seattle	5	9	['American (Traditional)', 'Chicken Shop', 'Sandwiches']	$$	Downtown
16		Seattle	5	6	['American (New)']	$$	
17	woodfired pizza	Seattle	5	6	['Pizza']	$$	Cottage Grove
18	Shop by Porter	Seattle	5	5	['Furniture Stores', 'Restaurants', 'Coffee & Tea']	$$	Downtown
19	Cafe - By Chief Seattle Club	Seattle	5	6	['Cafes', 'Coffee & Tea', 'Breakfast & Brunch']	$$	Pioneer Square
20	Mocha Café - Plaza Center	Seattle	5	8	['Cafes', 'Desserts', 'Coffee & Tea']	$$	
21	Restaurant	Seattle	5	10	['Ethiopian']	$$	Columbia City
22	Michalisco	Seattle	5	6	['Ice Cream & Frozen Yogurt', 'Desserts', 'Mexican']	$$	
23	Lugar	Seattle	5	6	['International Grocery', 'Mexican', 'Cocktail Bars']	$$	Capitol Hill
24	Market and Deli	Seattle	5	6	['Grocery', 'Beer, Wine & Spirits', 'Delis']	$$	Downtown
25	bar	Seattle	5	7	['Sports Bars', 'American (Traditional)']	$$	Capitol Hill
26	Coffee Company	Seattle	5	47	['Cafes', 'Coffee & Tea', 'Coffee Roasteries']	$	Capitol Hill
27	Cafe & Juice Bar	Seattle	5	62	['Juice Bars & Smoothies', 'Cafes']	$	Central District
28	Tree & Bop	Seattle	5	25	['Coffee & Tea', 'Sandwiches', 'Asian Fusion']	$	First Hill
29	Corn	Seattle	5	16	['Mexican', 'Shaved Ice', 'Food Trucks']	$	
30	Sugar Baking Company	Seattle	5	13	['Bakeries', 'Vegan', 'Gluten-Free']	$	Atlantic
31	Taco Loco	Seattle	5	13	['Food Trucks', 'Mexican']	$	Ballard
32	World	Seattle	5	13	['Modern European']	$$	Capitol Hill
33	Tavern	Seattle	5	26	['Wine Bars', 'Russian', 'Beer Bar']	$$	Wallingford
34		Seattle	5	37	['Food Trucks', 'Chicken Wings']	$$	Fairmount Park
35	City - Belltown	Seattle	5	12	['Tacos']	$$	Belltown
